Quality,Fibre,Count,Finish,Print,Coverage,Consum,Issued,Balance,Meters,Mesh,Rod,Speed,Hits,Color-hits,Viscosity,Machine
132144,ST,32,Peach,Pigment,6.31,61,80,19,3850,195.0,8.0,40.0,1,1,60.0,2.0
132144,ST,32,Peach,Pigment,21.35,248,270,22,3190,165.0,8.0,80.0,1,1,70.0,2.0
A150C549,ST,50,None,Pigment,21.14,111,130,19,2380,165.0,8.0,35.0,2,1,70.0,2.0
A150C549,ST,50,None,Pigment,49.75,215,240,25,2380,155.0,12.0,35.0,2,2,62.0,2.0
A150C549,ST,50,None,Pigment,5.79,56,80,24,2380,125.0,8.0,35.0,2,2,68.0,2.0
A150C549,ST,50,None,Pigment,14.64,82,100,18,2380,125.0,8.0,35.0,2,2,65.0,2.0
16000314,CT,60,None,Reactive,48.35,109,123,14,650,165.0,12.0,30.0,0,0,70.0,2.0
16000314,CT,60,Peach,Reactive,3.73,35,50,15,650,165.0,8.0,30.0,0,0,75.0,2.0
16000314,CT,60,Peach,Reactive,4.92,70,88,18,650,165.0,12.0,30.0,0,0,72.0,2.0
16000314,CT,60,Peach,Reactive,32.33,169,189,20,650,165.0,12.0,30.0,0,0,70.0,2.0
A145A279,SPC,45,None,Pigment,5.39,48,80,32,2535,165.0,6.0,60.0,4,4,105.0,2.0
A145A279,SPC,45,None,Pigment,3.08,34,70,36,2535,165.0,6.0,60.0,4,1,120.0,2.0
A145A279,SPC,45,None,Pigment,18.43,110,150,40,2535,165.0,6.0,60.0,4,4,97.0,2.0
A150C971,GSCN,50,None,Pigment,6.56,40,50,10,1125,165.0,6.0,40.0,4,4,112.0,2.0
A150C071,GSCN,50,None,Pigment,0.58,35,53,18,1125,155.0,6.0,40.0,4,4,125.0,2.0
A132B006,CT,32,Peach,Pigment,29.39,174,200,26,3638,125.0,12.0,30.0,4,2,107.0,2.0
A132B006,CT,32,Peach,Pigment,54.8,350,373,23,3638,125.0,12.0,30.0,4,4,68.0,2.0
A132B006,CT,32,Peach,Pigment,8.94,76,94,18,3638,125.0,10.0,30.0,4,4,65.0,2.0
120G88,CT,20,None,Pigment,38.12,211,230,19,2200,125.0,15.0,30.0,2,2,99.0,2.0
120G88,CT,20,None,Pigment,37.21,178,200,22,2200,125.0,15.0,30.0,2,1,67.0,2.0
120G88,CT,20,None,Pigment,18.53,111,138,27,2200,125.0,15.0,30.0,2,2,67.0,2.0
A140C538,CT,40,None,Pigment,4.19,37,50,13,1350,165.0,12.0,40.0,0,0,70.0,2.0
A140C538,CT,40,None,Pigment,3.2,35,50,15,1740,165.0,10.0,40.0,0,0,75.0,2.0
A140C538,CT,40,None,Pigment,3.19,38,50,12,1385,155.0,8.0,35.0,0,0,62.0,2.0
A140C538,CT,40,None,Pigment,9.09,32,50,18,1340,165.0,8.0,40.0,0,0,62.0,2.0
A140C538,CT,40,None,Pigment,3.46,27,40,13,1422,165.0,8.0,60.0,1,1,86.0,2.0
A140C537,CT,40,None,Pigment,3.45,38,50,12,1785,155.0,8.0,45.0,1,1,65.0,2.0
14500101,V,45,None,Pigment,29.32,147,170,23,2738,155.0,12.0,35.0,3,3,90.0,2.0
160A63,ST,60,None,Discharge,1.25,38,55,17,4538,195.0,6.0,40.0,1,1,38.0,2.0
160A63,ST,60,None,Discharge,0.16,30,50,20,4538,195.0,8.0,40.0,1,1,60.0,2.0
160A63,ST,60,None,Pigment,1.25,28,50,22,3700,195.0,8.0,35.0,1,1,107.0,2.0
160A63,ST,60,None,Pigment,0.16,24,50,26,3700,195.0,8.0,35.0,1,1,88.0,2.0
140324,ST,40,None,Pigment,2.19,75,100,25,13100,165.0,6.0,50.0,2,0,86.0,2.0
140324,ST,40,None,Pigment,62.61,665,1200,535,13100,125.0,10.0,50.0,2,2,92.0,2.0
140324,ST,40,None,Pigment,2.66,50,100,50,13100,125.0,10.0,50.0,2,0,70.0,2.0
140324,ST,40,None,Pigment,1.39,40,80,40,13100,125.0,10.0,50.0,2,0,82.0,2.0
140324,ST,40,None,Pigment,0.93,47,70,23,13100,125.0,10.0,50.0,2,1,82.0,2.0
140324,ST,40,None,Pigment,8.03,126,180,54,13100,125.0,8.0,50.0,2,2,75.0,2.0
140324,ST,40,None,Pigment,7.57,110,200,90,13100,125.0,8.0,50.0,2,1,75.0,2.0
140324,ST,40,None,Pigment,2.92,54,100,46,13100,125.0,8.0,50.0,2,0,72.0,2.0
140324,ST,40,None,Pigment,0.71,32,90,58,13100,125.0,8.0,50.0,2,0,80.0,2.0
A150D079,CT,50,None,Pigment,0.45,38,60,22,4780,195.0,6.0,40.0,1,1,65.0,2.0
A150D079,CT,50,None,Pigment,0.46,42,60,18,4912,195.0,8.0,80.0,1,1,78.0,2.0
A150D067,ST,50,None,Discharge,2.8,25,40,15,630,195.0,8.0,30.0,0,0,65.0,2.0
132144,ST,32,Peach,Pigment,21.35,90,102,12,1650,165.0,6.0,45.0,2,2,56.0,2.0
A120C093,CV,20,None,Reactive,0.23,58,80,22,4980,195.0,10.0,30.0,2,0,52.0,2.0
A120C093,CV,20,None,Reactive,2.15,65,90,25,4980,195.0,12.0,30.0,2,0,58.0,2.0
A120C093,CV,20,None,Reactive,3.97,82,100,18,4980,195.0,12.0,30.0,2,2,65.0,2.0
A120C093,CV,20,None,Reactive,6.23,105,120,15,4980,195.0,12.0,30.0,2,0,52.0,2.0
A120C093,CV,20,None,Reactive,7.89,133,150,17,4980,125.0,12.0,30.0,2,1,68.0,2.0
A120C093,CV,20,None,Reactive,4.17,78,100,22,4980,155.0,12.0,30.0,2,0,81.0,2.0
A150C944,ST,50,None,Pigment,5.06,46,60,14,1570,155.0,8.0,40.0,0,0,78.0,2.0
150G07,ST,50,Peach,Pigment,27.3,200,250,50,4000,195.0,8.0,45.0,2,2,40.0,2.0
150264,CT,50,None,Pigment,15.22,53,70,17,1150,155.0,15.0,30.0,1,1,40.0,2.0
A120C093,CV,20,None,Reactive,68.47,832,860,28,6270,125.0,20.0,33.0,2,2,76.0,3.0
